X,Y,OBJECTID,COUNTY,LATITUDE,LONGITUDE,STATION,RAIL_LINE,MUN_LABEL,ATIS_ID,AMTRAK
318334.1548,404758.7088,246,CAMDEN,39.94300569,-75.11986529,Broadway,PATCO Speedline,Camden City,PATCO06,N
326166.2104,397255.354,247,CAMDEN,39.92255306,-75.09175447,Ferry Ave.,PATCO Speedline,Camden City,PATCO07,N
333737.2796,393956.5056,248,CAMDEN,39.91363144,-75.0646854,Collingswood,PATCO Speedline,Collingswood Borough,PATCO08,N
338787.757,391512.9537,249,CAMDEN,39.90700947,-75.04662685,Westmont,PATCO Speedline,Haddon Township,PATCO09,N
341498.7683,388019.5857,250,CAMDEN,39.8974643,-75.03688801,Haddonfield,PATCO Speedline,Haddonfield Borough,PATCO10,N
348630.07,378037.8721,251,CAMDEN,39.87017623,-75.01126679,Woodcrest,PATCO Speedline,Cherry Hill Township,PATCO11,N
349176.4636,373852.6101,252,CAMDEN,39.85869489,-75.00923514,Ashland,PATCO Speedline,Voorhees Township,PATCO12,N
351629.897,364774.6939,253,CAMDEN,39.83381099,-75.00031449,Lindenwold,PATCO Speedline,Lindenwold Borough,PATCO13,N
318205.0754,404814.4301,254,CAMDEN,39.9431562,-75.12032703,Walter Rand Transportation Center,River LINE,Camden City,30871,N
603612.2647,736619.2435,255,Bergen,40.85497522,-74.09695192,Wesmont,Main/Bergen Line,Wallington Borough, ,N
404077.8393,518801.1027,256,MERCER,40.25731573,-74.81548975,West Trenton,West Trenton Line,Ewing Township,,N
376670.7606,483694.1805,257,"BUCKS, PA",40.16063087,-74.91310687,Langhorne,West Trenton Line,"Middletown Township, PA",,N
326412.9792,466024.6151,258,"MONTGOMERY, PA",40.11134393,-75.09250511,Meadowbrook,West Trenton Line,"Abington Township, PA",,N
362940.4977,478738.6963,259,"BUCKS, PA",40.14684134,-74.96214148,Neshaminy Falls,West Trenton Line,"Bensalem Township, PA",,N
346518.0014,471925.8064,260,"PHILADELPHIA, PA",40.1278893,-75.02074596,Forest Hills,West Trenton Line,"Philadelphia, PA",,N
321328.6033,464615.3666,261,"MONTGOMERY, PA",40.1073809,-75.11064879,Rydal,West Trenton Line,"Abington Township, PA",,N
382925.841,494678.0433,262,"BUCKS, PA",40.1908617,-74.89089905,Woodbourne,West Trenton Line,"Middletown Township, PA",,N
348955.8075,472907.0984,263,"PHILADELPHIA, PA",40.13062202,-75.01204798,Somerton,West Trenton Line,"Philadelphia, PA",,N
333081.0318,467856.1003,264,"MONTGOMERY, PA",40.1164912,-75.06870643,Bethayres,West Trenton Line,"Lower Moreland Township, PA",,N
399725.0049,510716.5848,265,"BUCKS, PA",40.23507849,-74.83097843,Yardley,West Trenton Line,"Yardley Borough, PA",,N
340062.8171,469773.6388,266,"MONTGOMERY, PA",40.1218751,-75.04378411,Philmont,West Trenton Line,"Lower Moreland Township, PA",,N
357163.6733,476330.4892,267,"BUCKS, PA",40.14014601,-74.98275987,Trevose,West Trenton Line,"Bensalem Township, PA",,N
313719.8793,459514.7882,268,"MONTGOMERY, PA",40.09323243,-75.13771998,Jenkintown-Wyncote,West Trenton Line,"Jenkintown Borough, PA",,N
317445.5789,463542.0521,269,"MONTGOMERY, PA",40.10436046,-75.12450406,Noble,West Trenton Line,"Abington Township, PA",,N
316479.9151,451482.1245,270,Montgomery,40.07123533,-75.12765211,Elkins Park,West Trenton Line,"Cheltenham Township, PA",,N
314400.5859,440491.6235,271,Philadelphia,40.041024,-75.13480196,Fern Rock Transportation Center,West Trenton Line,"Philadelphia, PA",,N
307300.1786,433791.6363,272,"PHILADELPHIA, PA",40.02248967,-75.15998457,Wayne Junction,West Trenton Line,"Philadelphia, PA",,N
310120.3307,418898.5735,273,"PHILADELPHIA, PA",39.98166227,-75.14952726,Temple University,West Trenton Line,"Philadelphia, PA",,N
307560.5553,408338.0933,274,"PHILADELPHIA, PA",39.95262006,-75.1583837,Jefferson Station,West Trenton Line,"Philadelphia, PA",,N
305054.4993,408931.144,275,"PHILADELPHIA, PA",39.95419699,-75.16733863,Suburban Station,West Trenton Line,"Philadelphia, PA",,N
308537.8506,424593.7691,276,"PHILADELPHIA, PA",39.99726491,-75.15532377,North Philadelphia,Trenton Line,"Philadelphia, PA",,Y
365567.959,451382.4242,277,"BUCKS, PA",40.07177917,-74.95224469,Cornwells Heights,Trenton Line,"Bensalem Township, PA",,Y
356507.675,445110.8679,278,"PHILADELPHIA, PA",40.05443133,-74.9844981,Torresdale,Trenton Line,"Philadelphia, PA",,N
345444.2492,437239.0447,279,"PHILADELPHIA, PA",40.03264931,-75.02385568,Holmesburg Junction,Trenton Line,"Philadelphia, PA",,N
332507.3181,429327.886,280,"PHILADELPHIA, PA",40.01071334,-75.06987586,Bridesburg,Trenton Line,"Philadelphia, PA",,N
392929.7707,463373.0052,281,"BUCKS, PA",40.10503703,-74.85464155,Bristol,Trenton Line,"Bristol Borough, PA",,N
378384.4383,459260.1716,282,"BUCKS, PA",40.09357537,-74.90657548,Croydon,Trenton Line,"Bristol Township, PA",,N
370776.7176,455441.5618,283,"BUCKS, PA",40.0829937,-74.93370268,Eddington,Trenton Line,"Bensalem Township, PA",,N
341176.327,433831.875,284,"PHILADELPHIA, PA",40.02322593,-75.03902389,Tacony,Trenton Line,"Philadelphia, PA",,N
403499.4921,476163.107,285,"BUCKS, PA",40.14025884,-74.81701644,Levittown,Trenton Line,"Tullytown Borough, PA",,N
